SeniorCitizen,tenure,MonthlyCharges,TotalCharges,CLV_per_month,Monthly_to_Total_ratio,gender_Female,gender_Male,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,PhoneService_No,PhoneService_Yes,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaperlessBilling_No,PaperlessBilling_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Tenure_Group_0-1 Year,Tenure_Group_1-2 Years,Tenure_Group_2-4 Years,Tenure_Group_4-5 Years,Tenure_Group_5+ Years,Monthly_Charges_Group_High,Monthly_Charges_Group_Low,Monthly_Charges_Group_Medium
0,43,49.05,2076.2,47.18636363636363,0.02361351819757366,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True
0,3,53.4,188.7,47.175,0.2814971006852926,False,True,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True
0,55,77.75,4458.15,79.60982142857142,0.017436058441631253,True,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False
0,45,54.65,2553.7,55.51521739130435,0.021391944259599956,False,True,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,True
0,55,100.9,5448.6,97.29642857142858,0.0185151203758074,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False
1,5,45.7,198.0,33.0,0.22964824120603017,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True
0,59,99.5,5961.1,99.35166666666667,0.016688750608007244,False,True,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False
0,12,96.0,1062.1,81.69999999999999,0.09030194713573512,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False
1,13,98.0,1237.85,88.41785714285713,0.07910562214957421,False,True,False,True,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0,14,19.75,309.35,20.623333333333335,0.0636378282584179,False,True,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False
0,15,18.8,294.95,18.434375,0.0635242439601284,False,True,False,True,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False
0,4,80.15,319.85,63.970000000000006,0.24980520492441952,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False
0,42,54.75,2348.45,54.61511627906976,0.023303326310413076,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True
0,64,109.2,6741.15,103.71,0.01619661383979888,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False
0,66,25.1,1697.7,25.338805970149256,0.014776005180432096,False,True,True,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False
1,10,75.3,720.45,65.49545454545455,0.10437313743156143,False,True,False,True,True,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False
0,50,44.8,2230.85,43.7421568627451,0.020073033582005958,False,True,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True
0,27,48.7,1421.75,50.776785714285715,0.03422948515199438,False,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True
